external_id,trade_date,portfolio,category_name,market,symbol,name,side,quantity,price,target_percent
Y-DIV-5388-2025-03-27-165,2025-03-27,martingale,黃標,TW,5388,中磊,DIVIDEND,1267,4.60,
Y-BUY-3029-2025-04-08-166-0,2025-04-08,martingale,黃標,TW,3029,零壹,BUY,796,104.50,12.48
Y-BUY-5388-2025-04-09-167-0,2025-04-09,martingale,黃標,TW,5388,中磊,BUY,977,85.10,12.48
Y-BUY-8936-2025-04-09-168-0,2025-04-09,martingale,黃標,TW,8936,國統,BUY,1722,48.30,12.48
Y-BUY-4168-2025-04-10-169-0,2025-04-10,martingale,黃標,TW,4168,醣聯,BUY,4894,17.00,16.64
Y-BUY-2359-2025-04-17-170-0,2025-04-17,martingale,黃標,TW,2359,所羅門,BUY,702,118.50,4.16
Y-SELL-2359-2025-05-27-171,2025-05-27,martingale,黃標,TW,2359,所羅門,SELL,702,141.00,0.00
Y-SELL-8936-2025-05-27-172,2025-05-27,martingale,黃標,TW,8936,國統,SELL,1452,57.30,8.32
Y-SELL-5388-2025-05-27-173,2025-05-27,martingale,黃標,TW,5388,中磊,SELL,640,98.10,8.32
Y-BUY-3059-2025-06-04-174-0,2025-06-04,martingale,黃標,TW,3059,華晶科,BUY,2082,39.95,4.16
Y-BUY-2359-2025-06-04-175-0,2025-06-04,martingale,黃標,TW,2359,所羅門,BUY,585,142.00,4.16
Y-BUY-4168-2025-06-04-176-0,2025-06-04,martingale,黃標,TW,4168,醣聯,BUY,2998,27.75,20.80
Y-BUY-3059-2025-06-10-177-0,2025-06-10,martingale,黃標,TW,3059,華晶科,BUY,2074,40.10,8.32
Y-BUY-8936-2025-06-10-178-0,2025-06-10,martingale,黃標,TW,8936,國統,BUY,1491,55.80,12.48
Y-DIV-4555-2025-06-27-179,2025-06-27,martingale,黃標,TW,4555,氣立,DIVIDEND,5894,0.50,
Y-DIV-2359-2025-07-10-180,2025-07-10,martingale,黃標,TW,2359,所羅門,DIVIDEND,585,0.75,
Y-BUY-2359-2025-07-15-181-0,2025-07-15,martingale,黃標,TW,2359,所羅門,BUY,630,132.00,8.32
Y-BUY-5388-2025-07-24-182-0,2025-07-24,martingale,黃標,TW,5388,中磊,BUY,863,96.40,12.48
Y-BUY-3059-2025-07-24-183-0,2025-07-24,martingale,黃標,TW,3059,華晶科,BUY,2085,39.90,12.48
Y-SELL-3059-2025-08-05-184,2025-08-05,martingale,黃標,TW,3059,華晶科,SELL,2082,45.35,8.32
Y-SELL-4555-2025-08-20-185,2025-08-20,martingale,黃標,TW,4555,氣立,SELL,1980,48.00,8.32
Y-SELL-2359-2025-08-20-186,2025-08-20,martingale,黃標,TW,2359,所羅門,SELL,585,146.00,4.16
Y-SELL-8936-2025-08-20-187,2025-08-20,martingale,黃標,TW,8936,國統,SELL,1457,56.40,8.32
Y-SELL-3059-2025-08-21-188,2025-08-21,martingale,黃標,TW,3059,華晶科,SELL,2074,50.90,4.16
Y-SELL-5388-2025-09-01-189,2025-09-01,martingale,黃標,TW,5388,中磊,SELL,627,103.50,8.32
Y-SELL-3029-2025-09-01-190,2025-09-01,martingale,黃標,TW,3029,零壹,SELL,827,121.50,8.32
Y-SELL-8936-2025-09-03-191,2025-09-03,martingale,黃標,TW,8936,國統,SELL,3213,53.90,0.00
Y-DIV-3059-2025-09-04-192,2025-09-04,martingale,黃標,TW,3059,華晶科,DIVIDEND,2085,1.00,
Y-SELL-3059-2025-09-09-193,2025-09-09,martingale,黃標,TW,3059,華晶科,SELL,2085,61.10,0.00
Y-BUY-4168-2025-09-24-195-0,2025-09-24,martingale,黃標,TW,4168,醣聯,BUY,3308,25.15,24.96
Y-SELL-2359-2025-10-14-196,2025-10-14,martingale,黃標,TW,2359,所羅門,SELL,630,131.00,0.00
Y-SELL-3029-2025-10-14-197,2025-10-14,martingale,黃標,TW,3029,零壹,SELL,632,113.00,4.16
Y-SELL-5388-2025-10-14-198,2025-10-14,martingale,黃標,TW,5388,中磊,SELL,1840,96.70,0.00
Y-SELL-3029-2025-10-28-200,2025-10-28,martingale,黃標,TW,3029,零壹,SELL,796,113.00,0.00
Y-SELL-4555-2025-10-29-201,2025-10-29,martingale,黃標,TW,4555,氣立,SELL,3914,44.10,0.00
